Nodes,Num Cascades,Prob Infection,LP Objective Value,Rounded Objective Value,Fixed Cascades?,Sets Sampled,N_p,Budget
3080,1000,0.5,27.123000000010165,27.123, Y, 1000, 3,13
3080,1000,0.5,27.149000000010197,27.149, Y, 1000, 3,13
3080,1000,0.5,27.08700000001012,27.087, Y, 1000, 3,13
3080,1000,0.5,29.176000000012674,29.176, Y, 1000, 3,14
3080,1000,0.5,29.16400000001266,29.164, Y, 1000, 3,14
3080,1000,0.5,29.135000000012624,29.135, Y, 1000, 3,14
3080,1000,0.5,29.207000000012712,29.207, Y, 1000, 3,14
3080,1000,0.5,29.22900000001274,29.229, Y, 1000, 3,14
3080,1000,0.5,31.224000000015177,31.224, Y, 1000, 3,15
3080,1000,0.5,31.281000000015247,31.281, Y, 1000, 3,15
3080,1000,0.5,31.28300000001525,31.283, Y, 1000, 3,15
3080,1000,0.5,31.255000000015215,31.255, Y, 1000, 3,15
3080,1000,0.5,31.25200000001521,31.252, Y, 1000, 3,15
3080,1000,0.5,33.41200000001283,33.412, Y, 1000, 3,16
3080,1000,0.5,33.397000000012866,33.397, Y, 1000, 3,16
3080,1000,0.5,33.33400000001301,33.334, Y, 1000, 3,16
3080,1000,0.5,33.31700000001305,33.317, Y, 1000, 3,16
3080,1000,0.5,33.338000000013004,33.338, Y, 1000, 3,16
3080,1000,0.5,35.40400000000819,35.404, Y, 1000, 3,17
3080,1000,0.5,35.41300000000817,35.413, Y, 1000, 3,17
3080,1000,0.5,35.496000000007975,35.496, Y, 1000, 3,17
3080,1000,0.5,35.43000000000813,35.43, Y, 1000, 3,17
3080,1000,0.5,35.43300000000812,35.433, Y, 1000, 3,17
3080,1000,0.5,37.40200000000353,37.402, Y, 1000, 3,18
3080,1000,0.5,37.49000000000333,37.49, Y, 1000, 3,18
3080,1000,0.5,37.45500000000341,37.455, Y, 1000, 3,18
3080,1000,0.5,37.525000000003246,37.525, Y, 1000, 3,18
3080,1000,0.5,37.5450000000032,37.545, Y, 1000, 3,18
3080,1000,0.5,39.63499999999833,39.635, Y, 1000, 3,19
3080,1000,0.5,39.562999999998496,39.563, Y, 1000, 3,19
3080,1000,0.5,39.549999999998526,39.55, Y, 1000, 3,19
3080,1000,0.5,39.57399999999847,39.574, Y, 1000, 3,19
3080,1000,0.5,39.57499999999847,39.575, Y, 1000, 3,19
3080,1000,0.5,41.58999999999377,41.59, Y, 1000, 3,20
3080,1000,0.5,41.58799999999378,41.588, Y, 1000, 3,20
3080,1000,0.5,41.643999999993646,41.644, Y, 1000, 3,20
3080,1000,0.5,41.541999999993884,41.542, Y, 1000, 3,20
3080,1000,0.5,41.630999999993676,41.631, Y, 1000, 3,20
3080,1000,0.5,45.732999999984116,45.733, Y, 1000, 3,22
3080,1000,0.5,45.75799999998406,45.758, Y, 1000, 3,22
3080,1000,0.5,45.70999999998417,45.71, Y, 1000, 3,22
3080,1000,0.5,45.782999999984,45.783, Y, 1000, 3,22
3080,1000,0.5,45.865999999983806,45.866, Y, 1000, 3,22
3080,1000,0.5,49.80799999997462,49.808, Y, 1000, 3,24
3080,1000,0.5,49.912999999974375,49.913, Y, 1000, 3,24
3080,1000,0.5,49.92699999997434,49.927, Y, 1000, 3,24
3080,1000,0.5,49.843999999974535,49.844, Y, 1000, 3,24
3080,1000,0.5,49.88599999997444,49.886, Y, 1000, 3,24
3080,1000,0.5,54.04199999996475,54.042, Y, 1000, 3,26
3080,1000,0.5,53.996999999964856,53.997, Y, 1000, 3,26
3080,1000,0.5,54.057999999964714,54.058, Y, 1000, 3,26
3080,1000,0.5,53.95199999996496,53.952, Y, 1000, 3,26
3080,1000,0.5,54.08699999996465,54.087, Y, 1000, 3,26
3080,1000,0.5,58.090999999955315,58.091, Y, 1000, 3,28
3080,1000,0.5,58.318999999954784,58.319, Y, 1000, 3,28
3080,1000,0.5,58.19699999995507,58.197, Y, 1000, 3,28
3080,1000,0.5,58.29799999995483,58.298, Y, 1000, 3,28
3080,1000,0.5,58.2699999999549,58.27, Y, 1000, 3,28
3080,1000,0.5,62.312999999945475,62.313, Y, 1000, 3,30
3080,1000,0.5,62.3889999999453,62.389, Y, 1000, 3,30
3080,1000,0.5,62.256999999945606,62.257, Y, 1000, 3,30
3080,1000,0.5,62.32899999994544,62.329, Y, 1000, 3,30
3080,1000,0.5,62.30799999994549,62.308, Y, 1000, 3,30
3080,1000,0.5,66.47999999995338,66.48, Y, 1000, 3,32
3080,1000,0.5,66.51499999995355,66.515, Y, 1000, 3,32
3080,1000,0.5,66.37099999995286,66.371, Y, 1000, 3,32
3080,1000,0.5,66.54499999995369,66.545, Y, 1000, 3,32
3080,1000,0.5,66.61499999995402,66.615, Y, 1000, 3,32
3080,1000,0.5,70.62299999997316,70.623, Y, 1000, 3,34
3080,1000,0.5,70.57299999997292,70.573, Y, 1000, 3,34
3080,1000,0.5,70.43499999997226,70.435, Y, 1000, 3,34
3080,1000,0.5,70.6299999999732,70.63, Y, 1000, 3,34
3080,1000,0.5,70.6299999999732,70.63, Y, 1000, 3,34
3080,1000,0.5,74.53799999999185,74.538, Y, 1000, 3,36
3080,1000,0.5,74.81499999999318,74.815, Y, 1000, 3,36
3080,1000,0.5,74.68799999999257,74.688, Y, 1000, 3,36
3080,1000,0.5,74.62799999999228,74.628, Y, 1000, 3,36
3080,1000,0.5,74.83199999999326,74.832, Y, 1000, 3,36
3080,1000,0.5,78.82600000001233,78.826, Y, 1000, 3,38
3080,1000,0.5,78.78100000001211,78.781, Y, 1000, 3,38
3080,1000,0.5,78.87500000001256,78.875, Y, 1000, 3,38
3080,1000,0.5,78.89100000001264,78.891, Y, 1000, 3,38
3080,1000,0.5,78.93300000001284,78.933, Y, 1000, 3,38
3080,1000,0.5,82.68100000003074,82.681, Y, 1000, 3,40
3080,1000,0.5,82.95600000003205,82.956, Y, 1000, 3,40
3080,1000,0.5,82.91000000003183,82.91, Y, 1000, 3,40
3080,1000,0.5,83.0310000000324,83.031, Y, 1000, 3,40
3080,1000,0.5,82.98100000003217,82.981, Y, 1000, 3,40
